5000 5000
1083 493 1363
1918 4445 3859
583 1125 2022
3937 4498 1462
4445 3651 1269
4610 925 4092
3485 2125 2894
98 73 2702
4078 4891 1474
2027 2126 2032
666 709 3068
880 2700 1673
2400 4949 4661
3298 3650 1431
3451 637 2652
4861 2957 308
2255 707 2189
394 3326 821
4766 1368 2507
99 395 4090
4903 1910 3861
1296 3033 4578
748 1363 3280
2140 66 2098
1656 1366 165
4034 1534 3375
761 4657 3891
4313 2683 3911
1617 3225 1463
1886 1435 4794
4020 3725 1778
1792 4647 654
2903 1862 1128
2594 1639 3809
3007 2535 2919
1919 4886 1272
4198 60 3559
1948 3674 3196
1794 4037 162
3818 3504 3980
794 2218 3658
3091 3186 348
1783 3608 86
4370 424 2873
4740 2935 2222
1542 2156 3054
725 4618 2353
1910 4711 2597
2448 492 4567
4066 1688 4918
1971 3507 4716
2525 2997 2174
4183 767 29
1579 1385 2843
508 1993 1143
451 4749 3136
3386 834 1673
1808 1570 515
706 792 434
2299 2265 3018
382 2636 1623
3300 2034 1596
3678 1365 2995
4928 3470 3531
955 3570 2765
2155 2001 2681
3779 3790 4002
748 737 2061
4374 3784 1313
3627 1138 3521
4466 1961 3344
1908 2801 724
2762 4901 2262
3741 4166 2442
1617 2958 3613
2864 1621 1057
4022 174 3041
4302 3476 915
3168 2319 703
1404 307 3623
1098 3137 3458
4957 1640 4969
4623 126 451
3885 2165 2872
4680 4756 1790
1716 2693 4256
1841 4963 1277
1924 1656 3313
2244 3333 4494
2119 1524 52
1597 506 289
3094 2476 4824
4536 331 706
1749 2746 2999
2384 1610 1623
424 4128 2550
1669 2795 1388
1740 3314 308
4915 1804 3338
234 3910 3475
4348 2576 1913
3532 4986 904
3113 740 732
337 548 1909
2529 1308 2167
629 3324 4581
4457 1211 4079
322 4143 1057
4555 262 2045
718 4773 1576
2345 2749 1818
4051 1963 2801
4292 2460 1509
737 4545 365
1380 4413 3720
717 2504 1608
4884 3339 3637
3754 4145 4505
4794 4993 3856
869 1656 1533
675 96 2435
1165 140 3529
4050 109 2051
101 1452 1606
3576 1884 3468
4115 706 1971
935 2030 59
1896 1302 3992
1695 2986 3598
278 2930 3548
1761 1058 3054
3821 743 1739
3095 2689 2339
1032 1255 1278
322 2950 1062
2606 1694 2136
2541 360 2593
2196 1196 4513
2451 3341 324
1570 1575 2893
2893 2011 1314
4219 140 1072
3535 2704 1447
2192 3512 940
1125 4893 2256
3765 164 4280
89 4323 3864
4715 4551 4832
830 4018 668
237 2776 4221
4004 4241 4267
509 946 2708
4773 2664 3220
2747 2874 4264
2309 4561 1516
3432 1392 2201
1229 1712 309
2761 4424 4130
657 2574 1501
3029 562 2244
2423 2097 1272
3404 1143 1140
1508 834 626
2781 4579 3420
119 1762 619
3242 3858 849
1472 4841 1
3654 3447 2669
3379 1053 3231
2299 3175 4219
3303 959 2361
3300 2677 1292
3230 2209 1170
3175 1678 2779
1398 2302 2475
1027 3680 2799
3558 1971 691
509 2289 2966
2246 3024 4117
1990 4515 4933
3402 4151 1032
430 626 985
618 2266 1469
4029 435 531
4093 1021 2263
3167 3749 2191
1525 1549 2798
1619 2050 3265
996 2769 3485
2916 658 396
2803 4423 1885
145 2518 479
616 48 544
609 1568 2217
314 2715 641
1864 818 1111
3758 1753 4386
1785 1200 2303
1860 4990 2536
4144 1981 1934
32 3108 4639
3508 4098 3584
1270 2371 3835
2665 4295 4701
525 3697 768
4303 1847 3756
1066 21 1973
2586 2268 4218
4581 4924 4778
61 4418 2089
2261 2413 1132
4414 2695 4833
4538 1654 2640
4113 189 2589
77 4244 3281
27 459 2989
4733 4391 3941
3647 1229 4874
3089 1835 1138
2575 3094 1805
4344 607 935
3056 772 1764
256 577 1476
1260 1743 817
4616 1784 3720
2664 126 3568
3863 1197 1912
225 3220 1782
4041 2699 2611
122 3666 1620
372 3826 4964
3251 933 2114
4494 3750 2746
2198 1978 4067
2005 3093 3334
4379 2747 508
348 2045 1776
1508 3817 893
1526 2181 590
2510 3720 4656
2792 1784 3512
4710 3004 2259
4456 4837 3882
1452 2400 3874
3069 3218 1709
1177 2053 2119
3261 4840 1528
1152 3093 44
4878 3846 1553
2331 4717 4383
117 1120 397
4568 908 1112
2810 509 3049
2652 2459 535
1851 4042 4301
2092 3501 4284
2274 560 2426
1057 2836 4555
2155 2600 218
378 4657 2959
2340 504 4674
1266 3952 1177
2380 3192 1860
3527 562 2272
3743 1059 4809
3946 2805 1353
4310 576 4086
386 3696 656
3669 4540 3510
1253 599 2790
4651 3475 2437
2517 3038 3653
2553 4461 2113
2575 4382 1288
2034 447 4427
1847 4234 4599
4841 3689 3563
2902 3245 3449
1972 23 2778
2713 3979 3541
3835 2108 4155
496 4830 2385
3418 2313 2103
3076 4949 2012
355 240 3877
4475 3552 4185
2924 4019 2604
3881 500 1555
218 4931 2141
4995 2896 4499
2138 917 3194
1314 2009 1760
765 1298 4300
2592 129 4651
2645 4947 1702
838 3313 904
3491 2463 4822
3653 585 188
109 4142 3849
1394 4677 4343
4198 699 3637
882 4554 664
748 440 4608
503 1492 1800
67 2925 596
1048 2283 615
3223 841 3666
4590 390 3558
3006 1573 1837
758 4354 2963
2434 680 770
4359 2911 3988
1048 1463 4298
3550 3315 2356
2296 4548 4241
1289 3491 249
650 4607 4087
46 2086 3157
3888 306 1554
3019 1619 1491
187 4554 4291
1890 2562 287
3732 2553 43
1093 2551 1022
3018 2507 4136
1314 2585 198
1157 1971 377
2949 3530 3986
2824 1720 649
2034 3366 1990
2329 2271 2453
839 4025 3804
2976 936 3791
3192 3371 1693
1495 1741 824
841 4382 1096
324 937 423
4093 1425 4359
3821 811 4039
657 976 326
82 4922 1548
493 3612 3427
350 989 3266
4207 1748 402
730 1383 2089
857 4494 4055
1567 4097 3720
2096 4966 2248
160 1314 2473
2616 4230 2468
2911 1522 4185
3553 3585 4635
4901 371 4237
1324 1255 3162
3885 1500 4946
4260 307 1766
1861 4109 4514
3458 3558 2332
1398 1018 889
801 4488 949
991 4773 4759
1427 2368 110
4463 109 503
2255 1512 3419
4571 4223 516
4663 3085 172
4683 2375 1079
3879 3704 4904
1585 3075 3298
500 710 3695
3698 4558 3383
4165 925 1419
256 4194 4158
636 1142 4277
1311 365 309
2925 2894 2965
66 1143 4240
1131 351 4953
1691 2043 3833
4467 4977 1467
2627 4305 713
1845 2787 1318
4387 857 2189
1625 3666 2179
1005 736 4245
4104 4980 2721
896 2922 4538
3557 3895 3117
2753 3040 2398
977 4705 1323
1158 3195 935
2086 4054 3990
570 3715 2039
2595 1707 1662
2370 2946 4459
3885 1192 3724
2718 2152 1093
1042 1072 4878
296 4196 2900
4452 2994 3795
4707 2172 1640
2213 4379 235
2373 2025 2078
1392 4015 845
2624 1525 3914
4550 1851 2262
1479 3225 4927
4607 4297 3342
4616 1933 2146
3510 4957 4201
4454 1032 2920
3816 4972 1944
973 3407 3196
4558 4621 876
143 4351 1862
4587 628 1554
3150 1237 3658
3307 4819 2475
4572 4473 3567
2723 3451 4063
673 3890 4481
2769 4837 2081
3233 3667 2733
2206 3401 256
3244 1117 1541
4010 3049 1532
4335 368 2688
788 2666 840
881 3976 550
707 2089 1772
4874 2928 2533
443 365 2202
2935 2791 4899
1541 1282 277
75 653 265
780 859 4820
3660 4079 486
3709 1752 3053
1707 1918 3505
3420 3789 1698
99 2259 3588
2773 3457 149
2273 756 4031
4236 116 3122
2164 1978 560
2687 2627 3507
2285 3662 3126
2730 2010 3889
4151 890 4616
2647 4636 1319
2202 2883 3992
2101 2928 4903
2877 4992 578
406 4687 4970
2439 663 1330
137 2643 1439
1848 2215 2775
3568 2571 530
1178 3521 3285
3983 2898 3045
3777 4074 342
3651 1229 4197
1458 2369 2923
2118 3603 4022
2238 3764 1987
1173 4112 1266
1304 4680 4230
2310 90 3902
947 4435 932
2421 2318 403
3217 3109 2289
2459 2790 1572
2919 3614 3857
3301 501 531
2323 3053 3868
1995 4096 540
4921 3534 154
789 1562 3113
4189 3387 2591
4199 306 1052
4745 1404 59
3307 2895 1078
937 2522 277
2908 1351 1799
775 3148 501
4365 317 2929
237 2591 327
3601 2403 3925
131 3442 3664
126 515 4851
3284 20 3502
2113 1395 377
3010 1267 2885
1183 1631 1821
2074 2370 2759
3725 4312 313
4581 4482 1764
3602 359 622
4066 2237 3709
4079 738 3641
930 2810 2272
1620 2294 708
2843 4102 2838
745 2021 4873
149 918 3353
4274 619 765
2154 1780 2593
4146 225 3855
824 4601 231
750 2886 2904
585 3831 97
4608 1968 4812
3346 4702 1716
1632 1205 2336
1005 4688 2506
1878 3050 3324
585 2444 701
3791 3039 4929
1433 2636 3083
3366 2923 50
4400 3083 813
254 4245 4869
4351 1201 1937
3268 838 1951
935 2171 3862
980 2248 1994
2811 2394 1944
2886 1633 3943
3650 3765 4455
474 268 4686
1571 3897 3908
4519 4819 3906
4742 3888 2245
4760 780 4653
3362 257 434
3205 4643 859
4849 776 363
2957 2490 3963
4035 4668 3146
2751 3143 2270
1409 1309 4547
3574 4067 3835
3864 3192 2969
3771 431 3102
1798 2338 4982
4943 4296 890
3669 758 1666
4179 728 2541
1477 3340 424
3280 1030 1886
1522 4466 1621
2231 2152 1726
50 2184 4901
2894 2885 3212
390 4097 4371
4181 3546 2156
2608 2325 3892
3782 4095 477
944 3797 1476
4054 3228 808
95 4447 874
1823 3508 4287
1950 1444 4519
2279 2261 942
203 66 137
3861 1032 4649
2141 34 2279
3012 1865 3728
3147 4260 570
132 3711 3122
811 3935 3705
1543 2440 4001
2165 2811 277
937 2415 320
3209 3933 3080
107 3441 1851
3177 64 472
1908 4776 3069
1792 2101 473
236 2586 3992
4336 957 824
734 1750 3653
158 3393 3505
3859 786 2264
563 2039 3739
1890 2020 2855
3098 4129 1746
825 1453 821
1161 4892 3816
2068 1974 2896
3289 874 2008
4557 2651 1744
2357 1299 1655
4148 196 1705
4384 6 3771
3865 1559 3911
4080 1763 732
274 2823 135
2911 2763 4976
1025 4874 3064
4014 655 4056
3888 4044 4309
3580 4942 4741
2325 4414 2565
3582 76 3702
2152 4236 2828
1384 2565 2050
2167 2303 1412
4075 146 3
597 3835 4223
1109 2284 55
628 946 2256
3138 1529 3476
3718 4583 1122
1072 4302 3206
484 1942 3232
3303 981 841
1994 4582 4276
1891 1581 2610
4126 4496 1764
696 2189 3205
1173 3588 4525
2490 4226 3378
527 4653 533
2496 670 3622
323 1196 1714
374 4555 3874
1382 1240 4742
901 3170 1914
4862 3661 1053
1963 4956 859
616 1472 2272
2874 4510 657
1589 201 1761
4849 1251 4877
3525 2769 3393
382 2281 3479
338 388 4561
1994 2003 623
309 530 4874
441 1115 4147
1628 897 2024
149 3975 4344
1605 1195 3025
1757 2252 991
2282 4497 4392
1473 965 1380
3083 935 767
461 1858 2065
1831 3189 627
1962 1984 4579
3818 31 1508
850 4684 408
2426 1382 3962
1150 1324 42
1558 1484 2418
4901 4497 578
2746 4514 3307
3422 1353 1177
922 3611 361
1093 1284 3797
3006 3139 3688
2941 4510 2426
622 3188 1373
4463 1913 364
3266 4007 4541
1302 255 3903
2869 1251 2496
1395 887 4840
2515 1266 2159
1525 3910 182
3272 4098 4299
3168 1370 3886
4149 2080 532
3384 2901 3138
4345 4788 1005
1890 2499 1513
3626 1908 255
431 2814 1458
2469 1966 3736
2102 4076 608
4682 3387 2865
2190 252 1424
4809 2933 4123
437 1111 4910
4425 3610 2644
1743 1646 4741
1006 116 3984
3680 1523 2154
1143 1562 1777
2658 4101 657
3651 1487 2941
3630 921 4741
3729 2114 3896
1071 3405 1348
2048 2259 4515
41 244 1344
4466 2451 1021
491 2113 4024
4424 119 1155
4330 3994 1685
4947 4832 4610
4047 2042 1864
4473 4787 113
3112 278 2761
1541 2724 4034
337 174 3682
3876 2240 4909
3613 2758 4370
670 4233 1703
4420 4190 3551
685 4670 3836
4928 800 712
4604 3344 1189
4230 417 401
3152 4298 2849
4196 2622 2102
802 3019 4350
4585 4753 3270
4441 4607 41
4046 1223 319
523 1065 3593
2262 218 1971
3763 3514 1823
4202 3942 2515
321 1890 2880
3210 4071 3792
4970 800 4263
1838 33 2493
3357 2497 2949
2405 271 3816
1315 1473 4310
1509 870 2122
4413 4247 1549
2209 3710 3354
4661 2868 4395
3826 2090 2509
3963 3386 1736
1225 1971 4155
4925 1997 1783
2775 237 2987
4936 436 3950
1528 2521 1581
1258 3719 4041
3841 3553 3174
1632 280 1262
4219 3625 4120
3211 792 4682
20 4645 4272
3165 249 3533
1657 3954 3640
2171 2796 1810
66 2765 2782
3108 4669 449
4074 3300 2265
706 1302 4690
1045 4270 2747
2198 2507 3422
1601 35 1892
2576 4207 751
4913 1472 4097
1473 4910 4545
4228 1242 1233
3592 2690 134
653 3101 2988
2307 3841 2236
3703 1219 1075
1858 856 3037
4386 4899 3129
2390 3942 1984
3531 39 2079
4857 504 4286
3930 4019 3660
1310 1816 1143
3359 4438 4146
712 2258 3372
3688 2129 1547
4618 4242 2348
3922 2359 606
4485 4000 396
1193 235 1
2755 3166 4124
3415 4857 4072
3117 759 4199
2674 756 4369
1491 1508 3404
738 1698 913
1076 2504 1967
1556 1035 4851
3916 2529 2204
1940 1666 4280
2527 1646 4510
1120 3283 2090
865 2174 4424
2260 3942 705
4985 3035 496
2593 2588 1944
4035 1099 3275
3878 1922 615
3621 1232 4112
3162 2022 3003
1993 32 3287
3313 1094 1714
1379 2663 803
2595 4778 1394
4932 1912 4004
4064 3013 3391
532 1131 4456
384 1808 3179
1518 4225 1012
501 2272 4595
2213 2353 3372
4016 2188 3776
4004 3149 4223
560 2296 2363
262 4731 45
74 4705 1376
2452 2378 667
3289 1054 4784
3537 604 1116
3204 3405 4576
1225 2142 4732
1304 3369 3966
1245 838 3011
1432 4914 4560
2823 2903 4556
3092 1964 962
1001 2365 51
1097 2078 81
772 3852 3508
2064 2548 4753
4752 768 3038
4872 3017 4104
3385 1629 4077
114 2984 4631
1194 2427 1581
4763 1814 4121
2522 3218 2675
2822 3507 3737
138 437 1281
684 719 1193
1944 1572 1886
1264 4450 409
1368 955 2331
840 3528 204
630 2028 2979
1488 4383 4669
3512 2271 994
4021 1718 4616
3028 4011 3808
1166 1305 1875
3414 3775 91
4151 3602 3865
2732 3589 4598
3590 3358 4172
4672 514 3533
959 755 1788
3808 3688 1156
726 3777 4461
3891 43 672
1184 3778 1467
3680 382 1424
3015 471 1222
4415 3284 4139
452 1705 2962
1367 34 888
1009 1006 4094
1343 3667 731
2282 4623 3074
3441 469 5000
1156 3051 3370
1546 2655 2681
819 3812 2661
4555 1349 3004
2185 813 105
1707 2970 2942
1572 3162 1352
2781 4935 4341
4240 2312 450
1548 3757 4667
513 2672 3711
2030 2412 193
893 4305 2695
2504 4430 3680
441 4490 2187
3703 3757 2679
2079 432 2713
3277 3489 3095
1869 225 1984
3514 2673 3078
4305 4477 922
1033 4212 595
1763 204 4408
1768 3815 4297
3205 2386 3692
1874 732 3230
4288 92 3898
4672 1501 2757
3087 1487 1989
4380 602 2350
500 46 1005
625 643 429
663 4182 85
2671 1170 3231
327 3648 3328
3584 1329 2024
882 326 1457
1355 4245 3865
1436 640 1906
4840 1080 2307
2336 3105 2771
4938 492 4472
324 1258 2588
3819 3321 3742
4778 2411 876
1323 1326 1109
3375 3356 2558
3187 820 322
838 329 1836
1246 2155 3849
1018 3350 294
3142 4891 3863
3870 2527 1877
4116 2579 4901
1614 83 2038
908 1324 4352
2634 364 1167
1506 590 2440
451 4515 4014
2158 534 4910
3339 1411 4202
3374 1083 3512
34 95 1566
4589 4005 4730
4101 1839 3138
3275 3953 4184
1061 778 3458
1477 616 4057
1449 4179 2188
2752 256 3301
2660 2905 158
3831 2442 4166
107 2027 764
3757 4633 914
4635 3296 2261
320 3943 3458
1830 696 3862
4073 1230 2334
3030 4312 3285
2153 7 1058
2467 1974 4768
2266 3854 155
1425 3917 4995
2187 2019 1805
2404 1038 3246
4729 4074 1404
3300 3571 3944
3396 143 1121
3502 4677 4167
1054 2622 3764
3835 976 1835
4030 4062 2426
2067 2433 490
3798 4085 271
4560 871 3253
4782 341 4414
228 3897 2140
251 4199 1672
417 921 1145
668 2553 4587
2233 4875 1707
524 1706 3613
870 724 3582
4280 3350 4987
554 3782 4900
1746 4573 4655
1335 615 3423
904 2349 2064
731 467 2632
3756 2524 1552
2375 4432 2472
4725 2342 1756
151 4449 2523
3019 4764 2403
4221 2880 2175
1191 634 4568
1251 2862 4669
3401 3230 2369
1026 940 2642
3457 4634 293
490 4220 1877
1417 1640 4752
3470 4491 1703
4733 1102 2415
4741 2838 1041
4425 1292 1897
1547 2954 1184
292 1747 3422
1954 1972 3631
2962 2460 1536
4208 3196 1947
562 577 523
3545 341 1486
596 4669 2075
2390 2700 1591
2631 1939 2667
824 367 532
2708 3210 3197
129 4280 1266
1272 3686 1600
604 4317 2597
3489 2267 891
3357 3476 980
174 41 1126
4001 630 1714
986 1469 3746
4560 3930 2648
2266 384 1748
4685 4879 4992
1374 789 691
165 4546 2823
4112 2864 4045
1229 1460 2423
3259 3248 5
3333 4651 2803
1050 337 3551
4949 3016 1050
2296 537 570
4245 1662 2747
2123 3460 3917
3534 403 3402
2167 2519 4260
4542 4082 3579
394 1407 1232
2672 4530 2801
1404 810 1558
2744 2016 4876
3155 4208 2189
158 1217 1226
4449 445 1065
3765 4850 1876
3215 341 2449
4745 3888 4248
918 15 1903
3867 505 2571
4469 4881 956
2062 3506 3809
1300 4763 1848
2018 3399 4820
4907 4965 4252
1682 1433 796
2855 4520 47
4397 81 3210
3238 4728 3590
2816 4097 2790
1999 4403 412
1629 3449 3908
1020 4217 1699
3354 658 3565
2841 193 2104
3507 4728 1389
2125 3063 1918
4121 2198 986
845 4709 1364
4241 4054 602
2172 4178 4771
820 1773 503
3550 1621 929
4942 3355 2582
4422 456 273
3871 1261 2864
824 1970 2633
3269 3080 1381
2504 2130 3870
2890 131 593
3665 937 3267
538 1756 2238
3435 2877 4688
3287 4670 1311
4499 1288 758
3878 3511 1588
3650 4897 1498
778 4446 2954
1021 1839 1534
4446 354 295
1965 4976 77
3532 758 2953
981 1105 4087
3502 1689 2742
338 420 517
2703 408 1697
4775 3605 2941
1913 3588 4066
760 193 4593
4929 1179 2982
1660 3671 1998
2952 1144 1985
885 4621 4079
2079 854 1589
4267 4551 1377
637 3953 4742
2582 1564 4908
4780 294 3187
4809 1736 4020
4938 2782 1169
925 1425 2759
3411 1789 500
1285 513 2275
4962 782 1398
2088 1352 4267
2470 1686 2204
1839 2783 1134
2805 3051 266
1585 4454 4693
2591 4660 3335
2091 360 1810
2403 2678 1172
3829 1907 3252
3033 2358 1295
3551 4868 2824
881 2218 2475
355 3405 271
3787 1558 1153
3531 2547 4334
4308 4028 3619
4139 1438 1037
1196 3653 2857
1432 2001 831
3375 354 1710
4936 2902 791
243 2879 2394
4301 1999 4
598 3835 3102
2622 47 2428
4900 769 4475
47 4165 2695
713 2259 4904
1763 4880 4075
4947 1484 732
395 2029 4196
1172 1786 810
1611 2148 1296
2689 1222 1837
4288 1787 2372
2197 598 989
2136 1256 3964
3671 2409 4139
4112 1269 2980
1072 1547 1308
3084 4485 2555
1168 3887 362
2661 2623 2853
4415 3058 3307
3096 1910 3964
2786 2182 2599
142 1591 890
4299 4188 256
3553 374 1479
3220 2032 142
4620 3617 597
1664 4872 4234
579 857 3562
4536 2705 629
2407 1377 2637
740 4629 4803
4475 316 1387
657 2801 4772
508 2933 975
1477 3405 1184
312 2914 3159
3111 1783 1292
2313 1125 4051
2259 1561 2999
4066 4982 2041
710 2765 211
2344 3502 1389
2923 2110 3125
2902 1775 2014
3764 2021 512
4100 4886 3010
89 4860 3922
1816 4329 2003
4242 1321 765
949 3864 3435
3185 1540 1833
3836 1707 1192
4469 595 4007
4270 982 9
2649 467 910
2287 4095 408
230 2703 3115
4740 881 1066
18 4288 1587
1772 296 75
3792 1506 2974
3296 4273 4546
4002 967 1041
4106 2938 2861
2592 1406 2192
4686 1726 4845
184 4149 926
3580 3147 3984
1388 3824 2245
426 1683 2358
994 2820 1313
2668 3575 3793
4366 4849 4798
4410 4038 4923
4414 4554 3937
4670 4514 546
1095 4672 4173
3687 2937 3703
2134 2050 2537
3119 530 1798
4366 1706 767
330 1079 1821
2533 1587 739
980 4029 1909
4634 4608 2615
2075 4228 4008
837 3461 3680
4939 424 76
2859 2923 3680
1553 4014 1919
4903 4233 4964
3854 1293 3307
2615 63 2312
320 998 2477
183 4629 4484
4191 451 4959
3908 4234 4586
2094 2154 382
703 4237 3836
1122 2166 3340
3420 4144 2134
2872 2772 2548
928 4031 4124
348 4064 2624
1631 3470 835
4639 3812 4827
2533 3422 3933
2143 4439 3386
3666 3874 4468
1138 2078 417
2497 1374 2456
47 1816 3757
2894 3052 3069
641 4347 2985
2969 1448 3763
4108 3642 3489
3548 2272 185
1735 3046 4041
2475 2657 3535
4258 2872 4767
4864 2816 794
306 393 677
4190 3067 4449
2083 1362 4382
1424 4576 2281
742 136 3018
4291 336 1063
3980 1082 2749
3910 4761 3506
3935 3437 1431
3546 464 4400
4095 2576 1327
3493 3211 1936
4680 1073 2799
2157 3189 1280
1004 3399 3855
3433 247 4867
2279 3756 708
3035 329 649
2460 4581 2206
3044 2945 1845
3678 3964 4387
3588 4077 3715
3877 1075 774
3281 2279 77
2411 2134 3147
2609 995 1470
3312 4170 4782
1680 2794 4936
408 3844 980
2754 4359 2589
2991 4808 2375
2665 777 1042
3890 273 1280
1158 730 2264
2238 1207 3301
215 1246 1392
3025 4928 3937
710 4217 4173
3189 3803 1199
4639 239 1857
2548 2417 648
857 864 1280
63 395 698
3871 1329 1336
3231 4622 2127
4192 1238 4995
2749 538 1595
2104 4970 4220
4639 4722 408
1981 4810 1703
1221 3633 4052
2148 1835 2318
2151 2312 640
2955 2422 4469
851 3386 2463
1154 2150 367
2650 4202 1504
3726 3378 1812
3862 2037 4192
4220 1469 2615
821 2052 1916
4469 3631 4780
2014 2447 517
1492 130 1248
756 576 2273
2772 2730 743
483 2757 2843
2900 682 2411
2505 129 1375
1911 3425 901
4677 1045 234
1106 2249 2213
388 3146 26
1993 4497 2386
1290 1092 4949
1167 1382 312
198 1484 3765
3842 2317 2598
4952 3674 34
1755 4291 4767
994 1505 3869
4764 505 365
1440 849 1486
3953 2156 82
3721 1750 791
656 4755 2121
3864 2864 3418
4592 2241 3357
1037 394 2100
368 10 4268
830 4456 1248
4629 1169 2510
3444 2444 1959
1166 1160 2442
164 14 4220
3117 1674 2167
4212 4326 4800
1000 4100 654
1830 254 1156
962 4633 4202
2769 2964 3869
4477 794 2892
4376 3303 1963
1878 1293 4173
1892 548 3892
47 4681 2357
1886 4395 1490
3818 3335 2095
239 1924 3201
4179 215 4959
4543 4088 1129
4474 4349 3463
4479 2786 4706
2991 3087 857
1525 646 818
3507 1695 3676
2050 4278 2865
1849 4341 3317
2567 353 1525
2071 2593 622
1059 2891 2030
2949 3763 4546
3720 790 3548
2733 2792 1853
2135 1632 1576
3141 3568 760
34 4149 3814
2743 1549 3574
821 2425 111
966 4433 90
204 1829 3897
4249 4232 526
3122 3939 1092
2006 270 1323
3026 3167 1488
1387 4397 799
2994 1505 4429
1732 4324 1900
4827 1573 374
3664 4903 4808
496 4395 4530
3818 2147 4521
4346 865 4486
3244 3236 3239
4452 3755 3192
3857 458 3113
2522 379 177
3068 588 2374
699 2153 3413
1737 4963 4787
2612 3892 4646
218 3603 1040
3777 3376 4056
2376 1680 3915
4301 1996 4318
4889 2280 738
1764 2749 1719
3344 4079 3516
4058 1095 1402
1158 3364 692
4732 3334 3698
4448 436 2672
3846 3670 1072
1087 4073 1733
4102 41 4126
2749 39 815
2504 2575 256
2404 4064 4380
3824 4636 3836
3854 773 2258
1145 1916 2746
9 3893 2209
419 4723 4180
3720 1900 4034
3563 3392 553
4016 1964 4787
465 3154 714
2442 2213 198
3619 1509 1872
722 2690 3650
2092 4995 3215
3954 4168 1061
2955 4401 2732
1966 2766 4614
3864 2073 3848
4845 2610 4586
3895 3153 1462
3102 3034 2327
4883 3098 4865
4971 4228 4534
1442 1810 4774
3272 1397 777
1139 3434 4128
393 1264 3726
2412 1407 3395
152 2027 4104
1196 1794 118
2141 4275 1236
215 3192 2138
86 1809 3574
4476 2076 883
4285 1456 2215
4986 3784 362
1765 1475 2828
2850 1578 1482
1564 2068 3206
636 3432 2246
2563 3519 114
2238 4745 526
584 2902 2870
1019 3563 2887
403 2220 2775
3383 657 1104
3625 3885 3235
3685 1608 1184
594 2821 4246
3342 563 498
4798 2255 1641
4474 1466 1487
747 4922 4165
2978 3857 1611
1352 2931 2811
906 228 4819
3963 630 693
2953 4947 3024
3045 3292 4509
3245 73 2370
1888 4498 3687
4544 2952 145
1239 431 2603
2849 4603 465
2028 4443 1891
3040 610 202
3541 3237 3173
4822 3257 690
2703 2501 4320
4166 4437 1139
3317 3682 2390
4029 3610 4958
3085 3551 4441
3603 938 2173
4018 2696 1425
669 219 2545
2507 4909 1310
1684 838 707
3886 1451 4457
3089 3611 3035
1329 978 4988
169 1048 4603
3977 1748 159
3093 1228 368
1105 804 3715
2078 1093 4426
1706 821 2382
1673 680 3954
855 1406 4860
1299 1124 4620
1775 3831 1430
694 4901 4603
4208 760 702
577 4303 3551
2242 4581 1123
3244 4935 4517
2764 2245 355
438 4035 4181
2467 3268 1265
3271 1050 3117
1977 622 1299
3439 2832 746
593 2664 85
4373 3269 121
794 1103 890
546 4730 4952
2747 2238 1157
3888 2674 3719
1767 1082 2584
1383 4452 3790
2605 3545 1311
2669 3130 4159
681 3248 2376
1143 3162 2622
1536 2188 1400
3343 4376 1241
3194 1869 4664
337 401 1530
2037 273 2592
234 1182 971
1102 4677 1638
3932 996 3203
1292 382 1040
3195 732 3249
4159 3876 4393
2191 2115 2448
536 164 2454
4807 203 903
2476 4382 3535
2452 2432 1304
1088 723 767
4814 3877 713
2449 1404 2906
3789 3058 3510
1989 296 1460
1501 395 1385
3188 2947 3848
2074 4165 43
3216 45 4802
2114 1223 2800
3475 157 4886
2370 3350 2607
4649 1049 4101
1307 688 2915
3208 580 3524
3620 1746 991
1565 3113 2544
4398 1229 1664
1192 1004 403
35 768 2060
2061 4059 4938
200 3366 2545
1800 2987 4238
1968 4038 4763
3046 4734 979
4151 1772 2198
3943 1168 3691
2400 4757 4665
3943 4033 513
1457 1027 30
3960 2164 1930
4867 1681 1633
2468 4650 285
3154 4122 3803
2839 2554 3538
4372 3287 1742
4032 813 1790
2375 4985 3524
1401 1033 3579
3622 937 1658
4258 4350 4077
961 3852 1158
1683 2006 2967
1095 4745 3065
4759 1761 1054
1118 3211 3676
513 2452 1421
4935 3502 2781
2695 2201 48
472 662 935
1389 610 745
2137 363 4473
2940 4410 1424
3181 2622 4401
4510 17 2211
947 4985 3854
1385 1938 1329
2667 3433 3212
232 826 3045
3039 1170 3011
3091 857 2598
3736 4178 3721
2580 3741 3551
2025 2812 1526
2248 1506 2985
4433 4202 2073
4057 2289 3089
1879 165 2970
4127 4048 2073
1198 4115 4004
993 1317 4198
3570 3155 400
3069 2230 1432
3639 3489 4016
94 1617 2011
4303 2492 45
2986 3212 375
1269 531 2255
1216 4879 1470
4172 3857 4577
1246 1627 2744
1300 3694 3903
3790 413 2697
2503 4025 3435
2618 3861 421
4688 2843 1603
752 2850 2170
3422 871 138
4956 2738 1485
2664 1513 4071
2993 2375 2585
2517 2713 397
1424 2706 3684
4232 3657 1855
1023 735 2309
577 1223 1964
4949 3195 3513
29 1995 318
3515 3288 3777
993 1327 4204
4506 867 1629
4360 429 2893
4577 1471 3573
2853 2577 3
3792 606 2578
2699 4547 474
546 2108 979
2493 2117 1155
1633 4758 3629
2404 4866 543
102 491 698
2234 4743 3375
543 978 168
4097 1232 4503
1799 4201 2874
